CVE_ENT,NOM_ENT,CVE_MUN,NOM_MUN,POB_TOT,ANALF,SBASC,OVSDE,OVSEE,OVSAE,OVPT,VHAC,PL.5000,PO2SM,IM_2020,GM_2020,IMN_2020
04,Campeche,04006,Hopelchén,42140,8.303448276,42.96529265,7.927670711,1.220556745,1.213418986,2.605281941,39.53192139,80.90175605,86.20893173,53.60265142,Medio,0.839342921
04,Campeche,04007,Palizada,8683,7.831808698,34.28021184,2.314814815,2.12962963,18.25231481,3.80787037,34.96641541,100,84.96,52.76030203,Medio,0.826152902
04,Campeche,04008,Tenabo,11452,8.777617675,32.91306436,8.648885002,0.961958898,0.743331876,1.058154788,35.26143646,23.61159623,83.21122043,55.18200785,Bajo,0.864073445
04,Campeche,04009,Escárcega,59923,8.924556284,38.78961847,3.224777037,1.291590386,1.78538437,4.865718269,35.7736702,47.64113946,81.25760309,54.89029564,Bajo,0.859505638
04,Campeche,04010,Calakmul,31714,13.20043103,39.1197454,3.919401194,1.793891924,21.90253608,9.935887313,46.49625778,81.93542284,88.66959064,50.70937161,Alto,0.794038186
04,Campeche,04011,Candelaria,46913,11.27257826,44.08942812,6.250267654,6.980429104,11.54982656,8.658045731,39.5888443,76.29441733,89.48396446,50.51393634,Alto,0.790977942
04,Campeche,04012,Seybaplaya,15297,6.242403195,34.56514158,3.581718177,0.589313777,6.312205343,0.825039288,28.11254311,37.7982611,81.91547838,55.87833198,Bajo,0.874976911
05,Coahuila de Zaragoza,05001,Abasolo,1022,2.21402214,33.33333333,0.195886386,0,0.391772772,0,8.8397789,100,72.94117647,57.82014772,Muy bajo,0.905383044
05,Coahuila de Zaragoza,05002,Acuña,163058,1.684883163,27.11824709,0.169817938,0.316255145,0.590671088,0.896510562,18.7693615,1.737418587,87.16736817,58.48171229,Muy bajo,0.915742224
05,Coahuila de Zaragoza,05003,Allende,23056,2.085205824,25.85730923,0.234548061,0.078182687,0.130304478,0.31707423,14.38586235,7.286606523,58.44530956,59.793829,Muy bajo,0.936288145
05,Coahuila de Zaragoza,05004,Arteaga,29578,3.696261682,31.34363157,0.926931957,0.454915807,3.130304882,2.211803078,18.13964272,47.48123605,58.29489292,58.04498696,Muy bajo,0.908903713
05,Coahuila de Zaragoza,05005,Candela,1643,7.41989882,46.12141653,0.791717418,0.426309379,0.913520097,0.730816078,18.93617058,100,75.69296375,55.91949173,Bajo,0.875621416
05,Coahuila de Zaragoza,05006,Castaños,29128,1.590097596,23.40169834,0.329976283,0.38497233,3.096964906,0.302478259,18.37831306,6.227684702,61.02635229,59.31062396,Muy bajo,0.928721827
05,Coahuila de Zaragoza,05007,Cuatro Ciénegas,12715,3.650282925,33.78453345,1.016708701,2.600882724,6.076607818,1.560529634,19.45401573,18.24616595,68.32214765,57.22051435,Muy bajo,0.895993619
05,Coahuila de Zaragoza,05008,Escobedo,3047,3.435639029,36.69262483,0.887865834,0.295955278,4.899704045,0.230187438,18.96361542,100,75,56.44349392,Bajo,0.883826561
05,Coahuila de Zaragoza,05009,Francisco I. Madero,59035,2.887820208,30.14623929,0.971631085,0.162778079,1.537991962,1.115764842,17.4222393,44.60235454,77.51051463,57.82467348,Muy bajo,0.905453911
05,Coahuila de Zaragoza,05010,Frontera,82409,1.500981795,21.33907162,0.130125991,0.154448606,0.383081189,0.322274651,17.84122086,8.696865634,50.31029768,60.08427096,Muy bajo,0.940836062
05,Coahuila de Zaragoza,05011,General Cepeda,11898,4.678500059,32.7884622,1.924054925,0.449228683,1.517206306,0.829945799,21.13676643,53.4795764,74.9610794,57.12100159,Muy bajo,0.894435388
05,Coahuila de Zaragoza,05012,Guerrero,1643,6.921824104,39.65011447,1.289134438,0.675260896,1.043585021,0.982197667,14.23076916,100,90.81803005,55.6679088,Bajo,0.871681977
05,Coahuila de Zaragoza,05013,Hidalgo,1735,4.816112084,36.44761981,0.173210162,0.519630485,0.866050808,0.866050808,18.94093704,100,89.11564626,56.07160908,Bajo,0.878003362
05,Coahuila de Zaragoza,05014,Jiménez,9502,3.063743284,50.0386583,1.22068744,1.263518578,1.10290181,1.274226363,18.43554878,100,93.67985824,55.40321239,Bajo,0.8675372
05,Coahuila de Zaragoza,05015,Juárez,1584,2.867072111,41.20114082,1.201011378,0.442477876,1.011378003,0.442477876,16.49484444,100,77.00170358,56.67700261,Muy bajo,0.887482982
05,Coahuila de Zaragoza,05016,Lamadrid,1764,3.115727003,34.37268003,0.396825397,0.340136054,0.113378685,0,13.92405033,100,73.29650092,57.32618556,Muy bajo,0.897648284
05,Coahuila de Zaragoza,05017,Matamoros,118337,3.099692823,30.3173233,0.788391613,0.108743671,0.865701567,1.41536684,17.75638008,41.71307368,69.96286272,58.18040041,Muy bajo,0.911024099
05,Coahuila de Zaragoza,05018,Monclova,237951,1.185580986,18.5200822,0.109535024,0.178201304,0.562420218,0.414560162,13.32606697,0.32863909,51.69378095,60.47683006,Muy bajo,0.946982992
05,Coahuila de Zaragoza,05019,Morelos,7928,1.70109356,27.79031418,0.330242601,0.203226216,0.419154071,0.444557348,15.26586628,15.23713421,60.44515103,59.4673507,Muy bajo,0.93117595
